Filename,Source_URL,Repository_Name,Generator_Architecture,Duration,AIME_Model,AIME_ID,AIME_Description
aime_track_001.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00001,"classical, easylistening, soundtrack"
aime_track_002.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00002,"pop, ambient, synthesizer"
aime_track_003.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00003,"experimental, hardrock, electricguitar"
aime_track_004.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00004,"electronic, lounge, dance"
aime_track_005.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00005,"pop, electronic, guitar"
aime_track_006.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00006,"electronic, experimental, piano"
aime_track_007.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00007,"rock, reggae, latin"
aime_track_008.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00008,"electronic, jazz, experimental"
aime_track_009.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00009,"rock, pop, slow"
aime_track_010.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00010,"jazz, guitar, organ"
aime_track_011.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00003-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Small,00011,"experimental, sad, piano"
aime_track_012.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00507,"rock, reggae, latin"
aime_track_013.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00508,"electronic, jazz, experimental"
aime_track_014.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00509,"rock, pop, slow"
aime_track_015.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00510,"jazz, guitar, organ"
aime_track_016.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00511,"experimental, sad, piano"
aime_track_017.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00512,"techno, keyboard, bass"
aime_track_018.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00513,"soundtrack, synthpop, synthesizer"
aime_track_019.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00514,"blues, piano, guitar"
aime_track_020.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00515,"pop, folk, country"
aime_track_021.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00516,"rock, jazz, guitar"
aime_track_022.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00024-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Medium,00517,"rock, world, drums"
aime_track_023.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00045-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Large,01020,"rock, pop, world"
aime_track_024.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00045-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Large,01021,"techno, synthpop, happy"
aime_track_025.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00045-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Large,01022,"funk, triphop, idm"
aime_track_026.wav,https://huggingface.co/datasets/disco-eth/AIME/resolve/main/data/train-00045-of-00210.parquet,disco-eth/AIME (HuggingFace Datasets — peer-reviewed benchmark),MusicGen (Autoregressive Transformer),10.18,MusicGen Large,01023,"pop, world, african"
